table_type,name,start_date,start_group,main_date,end_date,end_group,signal_observations,false_breakout,status
sector,中证煤炭,2026-05-29,试探,,2026-06-15,回避,8,False,closed
sector,中证红利,2026-06-01,试探,,2026-06-08,等待,3,False,closed
sector,机器人,2026-06-08,试探,,2026-06-09,回避,1,True,closed
index,北证50,2026-06-09,趋势保持,,2026-06-10,等待,1,False,closed
sector,中证红利,2026-06-12,试探,,2026-06-15,回避,1,True,closed
sector,证券公司,2026-06-12,试探,,2026-07-10,回避,17,False,closed
sector,有色金属,2026-06-15,试探,,2026-06-22,回避,3,False,closed
sector,细分化工,2026-06-15,试探,,2026-06-16,等待,1,False,closed
sector,半导体,2026-06-16,试探,2026-07-09,2026-07-13,回避,16,False,closed
index,科创50,2026-06-17,试探,2026-07-09,2026-07-13,回避,16,False,closed
index,创业板指,2026-06-22,试探,,2026-07-01,等待,7,False,closed
index,中证500,2026-06-24,试探,,2026-06-25,等待,1,False,closed
sector,细分化工,2026-06-24,试探,,2026-06-29,等待,3,False,closed
index,中证500,2026-06-26,试探,,2026-07-06,等待,6,False,closed
sector,CS创新药,2026-06-29,试探,2026-07-10,,,16,False,open
index,中证1000,2026-07-01,试探,,2026-07-02,等待,1,False,closed
index,国企指数,2026-07-08,试探,,2026-07-09,等待,1,False,closed
index,恒生科技,2026-07-08,试探,,,,9,False,open
sector,中证消费,2026-07-10,试探,,2026-07-14,等待,2,False,closed
index,国企指数,2026-07-13,试探,,,,6,False,open
sector,中证煤炭,2026-07-14,试探,2026-07-15,2026-07-17,等待,2,False,closed
sector,中证红利,2026-07-14,趋势保持,,2026-07-15,等待,1,False,closed
sector,中证消费,2026-07-15,试探,2026-07-20,,,4,False,open
sector,中证红利,2026-07-17,试探,,2026-07-20,等待,1,False,closed
sector,中证煤炭,2026-07-20,试探,,,,2,False,open
