data_date,table_type,name,rank,change_pct,deviation_pct,volume_ratio,status_date,range_pct,rank_change,source_image,verified
2026-07-09,index,科创50,1,8.41,11.54,1.10,2026-06-15,25.00,0,data/yupen-images/2026-07-10_f231de43_index_64cd95a3.jpg,true
2026-07-09,index,恒生科技,2,0.01,3.75,1.07,2026-07-08,0.00,0,data/yupen-images/2026-07-10_f231de43_index_64cd95a3.jpg,true
2026-07-09,index,上证50,3,2.57,1.84,0.99,2026-07-09,2.53,4,data/yupen-images/2026-07-10_f231de43_index_64cd95a3.jpg,true
2026-07-09,index,标普500,4,0.83,1.35,0.85,2026-06-30,0.67,1,data/yupen-images/2026-07-10_f231de43_index_64cd95a3.jpg,true
2026-07-09,index,恒生指数,5,-0.70,1.21,0.92,2026-07-08,-0.70,-1,data/yupen-images/2026-07-10_f231de43_index_64cd95a3.jpg,true
2026-07-09,index,国企指数,6,-1.08,1.05,0.94,2026-07-08,-1.08,-3,data/yupen-images/2026-07-10_f231de43_index_64cd95a3.jpg,true
2026-07-09,index,纳指100,7,1.66,0.42,0.84,2026-07-09,1.97,1,data/yupen-images/2026-07-10_f231de43_index_64cd95a3.jpg,true
2026-07-09,index,中证500,8,3.13,0.07,0.96,2026-07-09,1.69,3,data/yupen-images/2026-07-10_f231de43_index_64cd95a3.jpg,true
2026-07-09,index,沪深300,9,2.54,-0.23,0.99,2026-07-02,1.33,1,data/yupen-images/2026-07-10_f231de43_index_64cd95a3.jpg,true
2026-07-09,index,黄金现价,10,1.14,-0.27,-,2026-07-07,0.49,-1,data/yupen-images/2026-07-10_f231de43_index_64cd95a3.jpg,true
2026-07-09,index,中证A500,11,2.83,-0.41,0.99,2026-07-02,0.72,1,data/yupen-images/2026-07-10_f231de43_index_64cd95a3.jpg,true
2026-07-09,index,台湾加权,12,-0.83,-1.11,-,2026-07-07,-0.27,-6,data/yupen-images/2026-07-10_f231de43_index_64cd95a3.jpg,true
2026-07-09,index,创业板指,13,4.49,-2.17,0.97,2026-07-02,0.02,4,data/yupen-images/2026-07-10_f231de43_index_64cd95a3.jpg,true
2026-07-09,index,日经225,14,1.38,-2.60,-,2026-07-07,-0.75,0,data/yupen-images/2026-07-10_f231de43_index_64cd95a3.jpg,true
2026-07-09,index,中证1000,15,2.24,-3.20,0.93,2026-07-06,-2.03,1,data/yupen-images/2026-07-10_f231de43_index_64cd95a3.jpg,true
2026-07-09,index,微盘股,16,-0.29,-3.31,0.91,2026-07-06,-4.56,-3,data/yupen-images/2026-07-10_f231de43_index_64cd95a3.jpg,true
2026-07-09,index,白银现价,17,2.71,-3.68,-,2026-05-19,-19.30,2,data/yupen-images/2026-07-10_f231de43_index_64cd95a3.jpg,true
2026-07-09,index,北证50,18,0.44,-3.90,0.98,2026-07-02,-2.89,-3,data/yupen-images/2026-07-10_f231de43_index_64cd95a3.jpg,true
2026-07-09,index,中证2000,19,1.35,-5.29,0.95,2026-07-06,-3.98,-1,data/yupen-images/2026-07-10_f231de43_index_64cd95a3.jpg,true
2026-07-09,index,韩国综合,20,0.62,-12.50,-,2026-07-01,-12.19,0,data/yupen-images/2026-07-10_f231de43_index_64cd95a3.jpg,true
2026-07-09,sector,半导体,1,6.52,9.23,1.11,2026-06-15,23.01,1,data/yupen-images/2026-07-10_f231de43_sector_0648048c.jpg,true
2026-07-09,sector,CS创新药,2,1.84,5.66,0.79,2026-06-22,11.67,-1,data/yupen-images/2026-07-10_f231de43_sector_0648048c.jpg,true
2026-07-09,sector,证券公司,3,2.13,2.06,0.91,2026-06-12,8.33,0,data/yupen-images/2026-07-10_f231de43_sector_0648048c.jpg,true
2026-07-09,sector,中证消费,4,-0.99,-1.64,0.80,2026-07-07,-1.73,0,data/yupen-images/2026-07-10_f231de43_sector_0648048c.jpg,true
2026-07-09,sector,中证红利,5,-1.22,-1.83,0.91,2026-06-15,-6.98,0,data/yupen-images/2026-07-10_f231de43_sector_0648048c.jpg,true
2026-07-09,sector,机器人,6,2.29,-2.03,0.74,2026-07-07,-2.35,2,data/yupen-images/2026-07-10_f231de43_sector_0648048c.jpg,true
2026-07-09,sector,房地产,7,1.26,-2.60,0.90,2026-05-18,-16.51,0,data/yupen-images/2026-07-10_f231de43_sector_0648048c.jpg,true
2026-07-09,sector,中证煤炭,8,-1.90,-3.62,0.81,2026-06-15,-11.35,-2,data/yupen-images/2026-07-10_f231de43_sector_0648048c.jpg,true
2026-07-09,sector,商业航天,9,2.02,-4.65,1.00,2026-07-03,-6.07,1,data/yupen-images/2026-07-10_f231de43_sector_0648048c.jpg,true
2026-07-09,sector,细分化工,10,-0.61,-6.62,0.86,2026-07-07,-4.62,-1,data/yupen-images/2026-07-10_f231de43_sector_0648048c.jpg,true
2026-07-09,sector,电网设备,11,0.25,-7.74,1.01,2026-05-26,-21.65,0,data/yupen-images/2026-07-10_f231de43_sector_0648048c.jpg,true
2026-07-09,sector,新能源,12,0.66,-8.01,1.02,2026-07-01,-8.93,0,data/yupen-images/2026-07-10_f231de43_sector_0648048c.jpg,true
2026-07-09,sector,光伏设备,13,0.15,-8.72,0.90,2026-05-25,-21.48,1,data/yupen-images/2026-07-10_f231de43_sector_0648048c.jpg,true
2026-07-09,sector,有色金属,14,-0.57,-9.17,0.93,2026-06-23,-11.68,-1,data/yupen-images/2026-07-10_f231de43_sector_0648048c.jpg,true
